"진료과","부속부서","보유장비","진료 내용"
"병리과","특수염색검사실","","일반적인 염색(H&E stain) 이외의  특수염색을 추가적으로 시행하여 좀 더 정확한 진단을 할 수 있도록 하며, 결핵균 검출을 위한 AFB염색, 진균류 및 점액성분을 보기 위한 PAS, DPAS, Mucicarmine 염색, 칼슘 침착을 보기 위한 염색 등 진단을 위해서 보조적으로 필요한 경우에 시행"
"병리과","세포병리검사실","세포원심분리기","소변, 객담, 복수, 흉수 등의 체액, 자궁질 도말검체와 갑상선, 림프절에서 체취한 세포를 현미경으로 관찰하여(주로 암세포"
"병리과","세포병리검사실","자동염색기","유무에 대한)진단"
"병리과","세포병리검사실","자동봉입기",""
"병리과","세포병리검사실","현미경 디저털 영상하드웨어 장치",""
"건강관리과","","한천석 시력표","채용신체검사, 건강진단서 발급, 성인병 건강검진(보험공단),"
"건강관리과","","청력계기","자동차 운전면허 적성검사, 총포 및 도검소지허가 신체검사"
"건강관리과","","자동혈압측정기",""
"건강관리과","","자동신장체중계",""
"한의과","","전침","침에 지속적인 전기 자극을 주어 각 파형에 따라 통증 및 근무력 치료 등에 사용하는 장비"
"한의과","","적외선치료기","침구시술 부위에 사용하여 근이완 및 혈액순환증진으로 치료효과를 높이는 장비"
"한의과","","적외선체열진단기","인체에서 자연적으로 방출되는 적외선을 감지하여 컬러 영상화하고 이를 통해 신체 이상 부위 검출"
"응급의학과(지역응급의료센터)","","","급성질환이나 손항에 대한 응급진료 전담. 내원환자 상태 조기 안정화 및 검사를 통해 중증질환은 임상 각 과의 입원 치료가 이루어지도록 연계, 경증환자는 증상조절 하여 외래 통원 될 수 있도록 조치"
"응급의학과(지역응급의료센터)","","Ventilator(인공호흡기)","자발호흡 안될 시 사용"
"응급의학과(지역응급의료센터)","","Walmel Blanket(full body)","저체온 시 사용하여 체온을 올려줌"
"응급의학과(지역응급의료센터)","","보온포",""
"응급의학과(지역응급의료센터)","","Rapid infusion warmer(급속혈액가온기)","혈액을 빠른 시간 내 신속주입하고 , 저체온 환자에게 혈액을 가온하여 주입함"
"응급의학과(지역응급의료센터)","","EKG monitor","환자 집중감시장치"
"응급의학과(지역응급의료센터)","","Defibrilator(제세동기)","심장전기충격기"
"응급의학과(지역응급의료센터)","","이동식초음파 진단기","응급초음파기"
"암센터","암교육실","","암환자 및 보호자에게 의사, 종양전문간호사, 약사, 임상영양사의 교육팀이 전문 교육·상담 실시 및 체계적인 관리를 통해 고객만족도 증진 또한, 암환자 및 보호자에게 올바른 암정보를 제공하여 치료효과를 극대화하여 의료서비스 질향상 및 고객만족도 증진"
"암센터","다학제통합진료","","서로 다른 전문과목 임상 전문의들이 동시에 환자 맞춤형 대면진료 제공하여  진료시간 단축 및 환자 편의 증진으로 고객만족도 제고 다각적 근거를 기반으로 정확한 진단 및 최적의 치료계획을 도출하여  최상의 개별 맞춤형 치료를 제공하여 환자 신뢰도 상승 및 의료서비스 질향상"
"암센터","접수실","","암환자 개인별 질병상태에 따른 신속하고 정확한 센터별 진료과 예약 및 안내"
"암센터","장기별 암센터","","차별화된 전문 진료센터 운영을 통한 진료역량 강화 및 고객 만족도 제고 다학제통합진료회의 실시를 통한 의료전문가들간의 효율적 의사소통으로 환자중심의 수준 높은 의료서비스 제공"
"암센터","홈페이지","","암센터 홈페이지를 통한 의료서비스제공(암센터소개, 진료안내, 암종별센터 안내,암정보, 공지사항)으로 고객만족도 증진"
"외과","위암 클리닉","복강경수술장비","소화기계통의 암의 사전 진단·수술 및 상담(로봇수술 포함)"
"외과","대장암 센터","복강경수술장비","대장종양 및 염증성 장질환 환자의 검사 진단 입원·수술(Lap. Specialized)후 진료"
"외과","대장암 센터","3D 초음파",""
"외과","대장암 센터","대장내시경",""
"외과","항문 클리닉","3D 초음파","직장암 환자의 수술 전·후 기능평가 및 관리"
"외과","항문 클리닉","대장내시경","양성대장항문질환자의 평가와 치료"
"외과","항문 클리닉","항문기능검사치료기",""
"외과","변비 클리닉","3D 초음파","만성변비 환자의 평가와 치료"
"외과","변비 클리닉","대장내시경",""
"외과","변비 클리닉","항문기능검사치료기",""
"외과","간담췌 클리닉","복강경수술장비","담도암, 췌장암을 비롯한 팽대부 주위 암과 간암의 수술"
"외과","간담췌 클리닉","담관경(담도경)술","담낭 및 담도결석, 간내결석의 수술 및 치료"
"외과","간담췌 클리닉","중 초음파",""
"외과","유방암 센터","","유방암 및 유방 통증, 유방 양성종양 등의 수술 및 치료"
"외과","여성유방 클리닉","","고령의 남성 환자에서 많이 발생하는 여성형 유방에 대한 진단 및 치료"
"외과","탈장 클리닉","복강경수술장비","전문의 2명이 진료 중이며, DRG 체제에 맞춰 환자 진료 및 수술"
"외과","하지정맥류클리닉","3D 초음파","하지정맥류 환자에 대한 진료 및 수술"
"외과","하지정맥류클리닉","고주파장비",""
"외과","동정맥루 클리닉","3D 초음파","동정맥루 환자에 대한 진료 및 수술 복막투석 및 혈액투석 수술 후 환자관리 교육"
"외과","장기이식센터","","신이식 예정 환자의 관리, 신장이식 전과 이식 후 환자의 진료 및 수술, 신장이식 후 환자 교육"
"성형외과","욕창진료센터","Bovie","급.만성 상처와 욕창치료 및 수술, 악안면외상, 화상, 피부암, 수부사지재건"
"성형외과","욕창진료센터","Co2 레이저","점, 사마귀 제거"
"흉부외과","심장 클리닉","인공심폐기","관상동맥 우회술, 심장 판막수술"
"흉부외과","심장 클리닉","대동맥내기구펌핑",""
"흉부외과","심장 클리닉","자가 수혈기",""
"흉부외과","폐.식도암 클리닉","흉강경 수술장비  ","폐암. 식도암 수술적 치료, 흉강경 수술"
"흉부외과","대동맥 클리닉","","대동맥 스텐트 시술,수술적 치료"
"흉부외과","말초혈관 클리닉","","하지 동맥 스텐트 시술, 수술적 치료"
"정형외과","인공관절클리닉","","고관절, 슬관절, 견관절, 족관절에 대한 인공관절 수술 및 재수술"
"정형외과","척추클리닉","","척추에 발생하는 질환에 대한 진단과 치료, 척추수술(미세현미경 감압술, 전방 및 후방 척추유합술 등)"
"정형외과","척추클리닉","방사선투시기","척추에 대한 시술(신경차단술, 신경성형술, 신경근차단술, 후관절차단술 등)"
"정형외과","슬관절 클리닉","관절경 수술기구","관절경을 이용한 진단 및 치료(수술), 슬관절 불안정성에 대한 정밀 진단기기"
"정형외과","견주관절클리닉","관절경 수술기구","관절경을 이용한 진단 및 치료(수술)"
"정형외과","견주관절클리닉","근골격 초음파","초음파 장비를 이용한 관절내 주사 치료"
"정형외과","고관절클리닉","","고관절 질환에 대한 진단 및 치료(수술)"
"정형외과","족부 족관절 클리닉","","족부 족관절 질환에 대한 진단 및 치료(수술)"
"정형외과","당뇨병성 족부질환 클리닉","음압치료기","당뇨병성 족부질환의 진단 및 치료(수술)"
"정형외과","스포츠클리닉","","일반스포츠 및 장애인의 스포츠 손상에 대한 치료, 재생치료 (PRP, prolotherapy), 카티스템(슬관절 줄기세포치료)"
"정형외과","석고실","","골절의 도수정복 및 석고고정을 이용한 치료"
"정형외과","운동치료실","","슬관절, 견관절, 척추에 대한 운동교육 (물리치료사 상주)"
"신경외과","뇌혈관 클리닉","뇌혈관초음파","뇌혈관 질환 진단, 치료시 혈관의 유무 진단"
"신경외과","뇌혈관 클리닉","뇌혈관 조영술","뇌혈관 질환의 진단과 치료"
"신경외과","뇌종양 클리닉","뇌항법장치","뇌에 발생하는 종양 및 수두증의 치료시 정확한 종양의 위치 파악으로 수술효과 향상"
"신경외과","뇌종양 클리닉","렉셀프레임","뇌종양의 생검 및 뇌실질내출혈 흡인 수술 시 병소의 위치를 정확하게 파악하여 주변 정상조직의 피해를 최소화, 뇌정위수술 시 두개부에 정위수술기구를 고정시키고 방사선 촬영으로 뇌내 구조물에 대한 삼차원적 좌표계(x,y,z)를 파악하여 병변을 파괴 또는 절제함으로써 신경학적 증상을 치료하는 기기 → 뇌출혈 제거, 뇌종양 조직검사, 뇌심부자극술, 운동기능장애 수술 등"
"신경외과","척추 클리닉","척추조영술기","척추에 발생하는 통증의 원인을 진단하고 치료"
"신경외과","척추 클리닉","방사선 투시검사기","척추 및 척추주변 신경에서 발생한 통증을 미세침습적으로 치료"
"신경외과","중환자실","심혈관계, 감시기구 격리실","중환자에 대한 집중관리와 처치가 가능"
"신경외과","미세침습치료실","뇌내시경, 척추내시경,","뇌와 척추병변에 대하여 내시경 및 미세침습기기를 이용하여 최초 침습적인 치료가 가능"
"신경외과","미세침습치료실","미세수술장비, 항법장치",""
"신경외과","미세침습치료실","수술현미경",""
"산부인과","일반부인과","Laparoscope","각종 부인과적인 질환 조기진단 및 치료와 난소종양 또는 자궁근종검사 및 치료"
"산부인과","일반부인과","Hysteroscope",""
"산부인과","일반부인과","초음파",""
"산부인과","산과","초음파","임신 초기의 이상 유무, 태아 성숙도, 태반위치 판정과 임신시 정기적인 태아상태 진단"
"산부인과","산과","3D 초음파",""
"산부인과","산과","level 2 초음파",""
"산부인과","산과","(정밀 초음파)",""
"산부인과","폐경기·골다공증","골밀도 검사","폐경기 여성의 폐경기 증상 진단 및 치료, 골다공증 진단 및 치료"
"산부인과","클리닉","유방 초음파",""
"산부인과","클리닉","유방  Mammogram",""
"산부인과","부인암 클리닉","CT","난소암, 자궁내막암, 자궁경부암, 복막암, 각종 부인과 암검진 및  자궁경부암 백신, 암수술, 항암치료"
"산부인과","부인암 클리닉","MRI",""
"산부인과","부인암 클리닉","PET-CT",""
"산부인과","부인암 클리닉","Laparoscope",""
"산부인과","부인암 클리닉","Colposcope",""
"산부인과","부인암 클리닉","초음파",""
"산부인과","여성건강검진 ","초음파","여성 건강 검진"
"산부인과","클리닉","자궁경부 세포진 검사",""
"산부인과","클리닉","간기능, 갑상선기능검사",""
"산부인과","클리닉","콜레스테롤 검사",""
"산부인과","클리닉","심전도, 흉부방사선 검사",""
"산부인과","클리닉","종양표지자 검사",""
"산부인과","요실금 클리닉","UDS","요실금 진단 및 약물 치료"
"안과","성형안과클리닉","","외상성 안과질환 및 안와위축, 안검하수, 안와결손, 안검외반 및 안검내반, 눈물길협착 및 폐쇄 등 안외상 및 노인환자에게 다발하는 질환을 효과적 으로 진단 및 시술, 수술치료시행"
"안과","각막 및 콘택트렌즈","각막곡률측정기","각종 각막질환으로 상세한 검사가 필요한 환자와 수술 후 추적검사를 받는 각막클리닉과 양안 부등시, 백내장 적출환자, "
"안과","클리닉","정밀안압측정기","고도근시로 콘택트렌즈 착용을 위한 환자를 대상으로 하는 콘택트렌즈 클리닉 운용"
"안과","클리닉","각막두께측정기",""
"안과","백내장 및 녹내장","자동시야계","백내장 환자의 수술로써 수정체 초음파 유화술 및 안내 수정체 삽입술의 시행과 추적치료. 녹내장환자 및 녹내장이 의심되는 "
"안과","클리닉","정밀안압측정기","환자를 대상으로 정밀시야검사, 정밀안압계검사를 통한 정확한 진단 및 레이져치료와  수술적치료 시행"
"안과","클리닉","레이저광응고기",""
"안과","클리닉","수정체 유화기기",""
"안과","클리닉","전안부초자체 절제술기",""
"안과","클리닉","비접촉 안압측정기",""
"안과","클리닉","망막신경섬유층광간섭촬영기",""
"안과","망막 및 초자체","초자체절제기","각종 망막 및 초자체 질환과 고령환자에 발생률이 높은 당뇨, 고혈압관련 안과합병증의 진단·치료를 시행하며 망막 수술 후 "
"안과","클리닉","형광안저촬영기","추적검사를 받기 위한 환자들을 대상으로 형광안저촬영,  아르곤 및 야그 광응고레이져, 초자체절제술기구 운용"
"안과","클리닉","안과광학단층촬영기","각종 망막질환 연관한 안구 내 주사치료 시행"
"안과","클리닉","안내광응고레이저시스템",""
"안과","사시 클리닉","","각종 선천성·후천성 사시의 진단 및 정밀한 수술을 위한 장비보유 및 수술시행"
"(안센터)","","","백내장클리닉, 녹내장클리닉, 망막 및 초자체클리닉, 성형안과 클리닉, 사시 및 신경안과 클리닉 운용"
"이비인후과","","후두경","후두의 모양, 성대의 신축, 성문의 개폐 상태를 관찰하여 후두암 및 성대결절과 부종, 인후두역류질환 등의  검사 시행 및 후두의 이물질 제거"
"이비인후과","","후각기능검사","한국인 에게 익숙한 냄새를 사용하여 후각 역치검사, 후각 식별검사, 후각 인지검사를 하고 후각기능을 정확하게 평가"
"이비인후과","청력검사실","표준순음청력검사기","기도전도와 골도전도를 측정하여 선별 주파수에서의 가청역치를 측정함으로써 난청의 정도 및 난청의 유형 파악 또는 난청의 예후평가·치료 및 치료효과 판정, 재활의 선택, 보청기 선택"
"이비인후과","청력검사실","어음청력검사 ","보통 회화에서 사용되는 어음에 대한 청취와 이해능력을 정확하게 측정하기 위해 자극음을 어음으로 사용하고 난청의 감별진단, 사회적응능력평가, 보청기 사용지침, 청력개선술의 적응 등 임상적 중요성을 가짐"
"이비인후과","청력검사실","청성뇌간유발반응검사기","소리 자극을 들려주고 이에 대한 청가계의 전기반응을 두피에 위치한 전극을 통해 기록하는 검사"
"이비인후과","청력검사실","임피던스 청력검사기","외이도를 밀폐한 상태에서 외이도 내의 압력을 변화시키며서 특정 주파수와 강도의 음을 줄 때 고막에서 반사되는 음향에너지를 측정하여 중이강의 상태를 간접적으로 평가"
"이비인후과","청력검사실","회전의자 검사기","평형기능을 담당하는 세반고리관의 기능을 검사하여 평형기능의 일측성. 양측성 장애 구분과 중추성과 말초성 장애를 감별 진단하여 전정장애 후 보상정도를 확인"
"이비인후과","청력검사실","비디오 전기안진검사","머리의 운동에 따른 눈동자 모양의 유형을 측정하여 안구의 움직임을 적외선 비디오를 이용하여 측정, 분석하는 방법으로 안구의 3차원적인 움직임 측정이 가능하여 전정기능을 객관적으로 정량화 할 수 있음"
"이비인후과","청력검사실","매핑","마이크로폰으로부터 입력된 음향 정보를 어음처리기에서 여러가지 방식을 방식을 통하여 와우를 이식 받은 환자의 중추신경계가 전기적 자극을 효과적으로 들을 수 있도록 전기자극의 방법, 어음처리기법, 자극의 속도 등 설정"
"비뇨의학과","종양 클리닉","","비뇨생식계에 발생하는 종양을 진단 및 치료 시행"
"비뇨의학과","전립선 클리닉","방광경, 초음파","전립선의 이상을 진단하고 경요도적 수술(로봇수술 포함) 등의 치료(전립선뿐만 아니라 방광 및 요도의 병변도 시행)"
"비뇨의학과","남성의학 클리닉","성기능 검사","여러 원인에 의한 발기부전증 환자의 정확한 진단에 사용"
"비뇨의학과","요로결석 클리닉 ","체외충격파쇄석기","신장, 요관 등에 발생한 결석에 대한 비수술적인 치료"
"비뇨의학과","배뇨장애 클리닉(요실금 포함)","요역동학측정기","신경인성방광이나 요실금 등의 배뇨장애 진단을 위한 심층적인 검사"
"마취통증의학과","마취과","","수술 전 환자를 마취과 의사가 개별 면담하여 정확한 환자 평가를 통해 안전한 수술이 시행되도록 마취 관리, 혈관조영실 등에 출장 마취를 통하여 수술실에서 시행이 어려운 수술이 가능하도록 지원, 낮병동 마취를 운영하여 수술 후 입원없이 당일 퇴원 가능토록 지원, 산과마취, 경막외마취를 통해 무통분만등의 지원"
"마취통증의학과","통증 클리닉","","약물치료, 물리치료, 신경 차단 요법 등을 통하여 통증의 악순환 회로를 차단하고 말초신경 및 중추신경의 흥분상태를 안정시킴으로써 통증의 원인을 병태·생리학적으로 접근하여 급·만성 통증을 치료 수술 후 통증 조절을 시행하여 환자의 통증 경감에 노력"
"마취통증의학과","통증 클리닉","고주파열응고기","척추수술 및 동통치료 시 병의 근원이 되는 신경부위를 고주파의 원리를 이용 통증 및 병변 부위를 치료"
"마취통증의학과","통증 클리닉","최신 C-ARM(이동녹화촬영기, 9600 upgade 포함)","첨단 영상기법으로 정확히 진단하여 수술을 용이하게 함"
"마취통증의학과","중환자실","환자감시장치","전  진료과에서 집중진료를 요하는 중환자를 최신의료장비로 집중적으로 치료"
"마취통증의학과","중환자실","인공호흡기",""
"재활센터","근전도실","근전도검사기","재활의학과 의사가 직접 근전도 검사를 시행하여 신경근육의 각종질환의 진단을 비롯하여 말초신경의 손상부위 정도, 예후 판정"
"재활센터","근골격계 초음파실","초음파진단기","초음파를 이용하여  각종 근골격계 통증에 대한 정확한 진단과 치료 "
"재활센터","외래통증치료실","체외충격파 치료기","체외충격파를 이용하여 석회성 건초염, 족저근막염등의 만성통증 치료"
"재활센터","온열치료실","경피신경자극치료기","저주파 치료 기구를 이용하여 통증 완화 "
"재활센터","온열치료실","간섭파전류치료기","간섭 전류를 이용하여 통증 완화"
"재활센터","온열치료실","레이저치료기","광선을 이용하여 혈액순환 촉진 및 통증완화 "
"재활센터","온열치료실","초음파치료기","고주파를 이용하여 근육층까지 깊숙히 투열시켜 조직 긴장 완화 및 통증 완화"
"재활센터","온열치료실","견인치료기","물리적 견인력을 통한 척추 사이 디스크에 가해지는 압력 완화"
"재활센터","온열치료실","온습포","따뜻한 팩을 피부에 적용하여 피부층의 충열과 혈액순환 촉진을 통한 동증 완화 "
"재활센터","온열치료실","전기자극치료기","전기자극을 이용하여 근육의 흥분성 유지 및 위축 방지"
"재활센터","온열치료실","공기압마사지기","상,하지 혈액 순환 증진 및 부종 완화"
"재활센터","집중운동치료실","경사치료기","수동적 기립을 통해 마비 환자들의 약화된 지지 기능을 향상시키고 골다공증을 예방"
"재활센터","집중운동치료실","어깨운동기","상지에 마비나 근 약화로 인해 저하된 근 기능을 향상시켜 상지 기능의 향상을 도모"
"재활센터","집중운동치료실","복합운동기","상하지 운동치료기구를 이용하여 근력 및 관절가동범위 증진을 통한 기능 회복"
"재활센터","재활기능운동치료실","트레드밀","각종 장비를 이용하여 근력 및 지구력 훈련, 균형훈련등을 실시하여 기능의 회복을 도모함"
"재활센터","재활기능운동치료실","상하지에르고미터","균형능력장애환자에게 장비를 이용한 균형훈련 프로그램에 맞춰 훈련과 검사를 실시함"
"재활센터","재활기능운동치료실","전산화된 균형훈련도구",""
"재활센터","특수치료실 ","기능적 전기자극치료기","전기자극을 가하여 근수축을 유발하여 기능적으로 유용한 동작을 만들어 내는 치료"
"재활센터","특수치료실 ","등속성운동치료기(Cybex )","cybex를 이용하여 정해진 각속도로 운동하는 것으로 근육통이 적고 관절운동이 금기인 경우에도 시행가능한 치료임"
"재활센터","수중재활치료실","수중풀","물의 물리학적 특성을 이용하여 신경계, 근골격계에 손상을 갖고 있는 환자분들을 대상으로 관절가동범위, 근력, 유연성,"
"재활센터","수중재활치료실","보행풀","균형등의 기능을 증진시키는 치료"
"재활센터","수중재활치료실","전신월풀","월풀의 와류에 의한 마사지 치료,부력을 이용한 능동수동운동, 온도에 따른 온열효과로 통증을 완화시키고 근육을 이환하는 효과"
"재활센터","수중재활치료실","수족지월풀 등 ",""
"재활센터","동작분석실","동작분석기","환자의 보행을 3차원적으로 분석하여 적절한 치료방법을 적용"
"재활센터","작업치료실"," 작업치료기구","상지관절의 관절가동범위 증진 및 근력과 조화운동능력 향상 및 미세동작 향상"
"재활센터","일상생활동작훈련실","일상생활동작치료기구","식사, 옷 입고 벗기 등의 수행의 어려움이 있는 일상생활동작 훈련을 통하여 최대한 독립적으로 수행하도록 하는 치료법"
"재활센터","연하치료실","연하치료기구","연하곤란환자의 평가를  토대로 자세교정, 구강운동, 전기자극치료 등 실시"
"재활센터","인지치료실 ","전산화인지치료프로그램","현실성 있는 훈련 프로그램으로 컴퓨터 화면등에서 주어지는 과제를 해결함으로써 기능향상과 일상생활에서의 문제 해결 능력 향상"
"재활센터","언어치료실","닥터스피치","언어장애가 있는 환자를 평가하고 적절한 접근으로 언어장애 치료"
"재활센터","상지로봇치료실","상지로봇치료기","프로그램을 이용하여 뇌가소성을 증진시켜 독립적인 일상생활과 상지의 기능회복을 촉구함"
"재활센터","보행로봇치료실","보행로봇치료실","견인장치로 하지고정후 프로그램을 통하여 정상적인 보행양식을 환자에게 유도하는 맞춤형 보행훈련"
"재활센터","척수손상재활","","척수손상으로 인한 상하지 기능장애 환자들의 장애평가 및 적절한 치료방향 설정 및 교육, 척수손상환자의 생애주기별 맞춤 건강검진 및 치료"
"재활센터","뇌졸중재활","","뇌졸중 이후에 발생하는 신체적, 정식적, 사회적 장애를 최소화 하기위해 평가 및 적절한 치료방향 설정 및 치료"
"재활센터","뇌손상 및 퇴행성","","외상성 뇌손상 또는 파킨슨 병과 같은 퇴행성 중추신경계질환으로 장애를 평가하고 치료를 통하여 장애를 최소화 하고 사회통합을 유도함 "
"재활센터","중추신경질환재활","",""
"재활센터","절단장애 재활","","절단장애 후 절단부위 관리, 적합한 의지보조기 처방 및 적용훈련 "
"재활센터","노인재활","","초고령 사회를 대비하여 각종 노인성 질환에 대한 연구 및 치료 "
"재활센터","근골격계 재활치료","","각종 근골격계 통증 및 퇴행성 관절염, 척추수술 후 및 관절치환술 후 재활프로그램 운동치료, 통증재활수기, 각종 통증교실을 통한 지속적인 환자교육"
"재활센터","수중재활치료","","물의 물리적인 특성을 이용하여 비정상적인 움직임의 패턴들을 다양한 수중 기법을 통하여 정상적인 움직임으로 회복 또는 증진"
"재활센터","인지재활클리닉 ","전산화인지치료프로그램 ","뇌졸중 및 뇌손상후 발생한 인지장애에 대해 약물치료 및 전산화 인지기능 평가 및 치료"
"재활센터","연하장애 클리닉","비디오투시검사","뇌병변 및 중추신경 손상, 두경부 수술 후 발생한 연하장애 환자들의 연하기능평가 및 치료"
"재활센터","경직 클리닉","근전도 검사기","편마비, 척수손상 등으로 인한 경직 완화 중재시술을 근전도 또는 초음파기기 모니터링 하에 실시"
"재활센터","경직 클리닉","초음파진단기",""
"재활센터","의지보조기 클리닉 ","","보장구센터와 협진을 통하여 절단 및 기능장애 환자들에게 적절한 보장구 처방 교육"
"재활센터","장애인스포츠 재활클리닉","","스트레칭 및 재활운동을 통하여 기능유지 및 기능회복 훈련 및 환자의 잔존능력에 따른 적합한 스포츠 활동 처방 "
"재활센터","뇌자극치료 클리닉","경두개 자기자극치료기","자기장을 이용하여 뇌의 특정부위를 국소적으로 자극하여 손상된 뇌기능을 회복시키는 치료법 "
"재활센터","호흡재활클리닉","","만성폐쇄성폐질환, 신경근육성 질환으로 인한 호흡부전을 평가하고 기계호흡접근, 호흡근 강화운동 등 환자의 호흡기능을 유지시키기 위한 재활 치료 시행"
"재활센터","재활체육치료 프로그램","스트레칭장","신체적능력이 저하되어 운동능력이 부족한 환자들을 대상으로 체육교사의 지도에 따라 체육활동을 하고 있음"
"재활센터","재활체육치료 프로그램","체력단련기구",""
"재활센터","일상생활체험 프로그램","일상생활체험실","장애인전용 가구등이 설치되어 있는 독립생활관으로 퇴소 후 환자의 주거상황 및 장애정도에 맞게 일상생활을 영위할수 있도록 하여 사회복귀를 촉진시키는 프로그램"
"재활센터","방문물리/작업치료","","통원치료가 어려운 환자에게 집으로 찾아가 물리치료 및 작업 재활치료를 제공하고 있음"
"재활센터","프로그램","",""
"치과병원","보철과","","총의치, 국소의치, 고정성 보철, 임플란트 보철, 악안면보철, 심미보철, 교합치료, 디지털 보철치료"
"치과병원","구강악안면외과","","구강악안면감염, 턱관절외과, 양성종양치료, 골절 수술, 치조골 이식술, 매복 사랑니 발치, 악골내낭종적출, 악골골절수술"
"치과병원","치주과","","치주질환, 잇몸질환, 심미치주치료, 임플란트"
"치과병원","보존과","미세현미경","근관치료, 충치치료, 심미수복, 미세치근단 현미경 수술, 치아외상, 치아미백, 임플란트"
"치과병원","구강내과","하악운동분석기(K7)","턱관절 질환, 구강악안면통증, 구강연조직질환, 코골이장치, 구취진단 및 검사, "
"치과병원","구강내과","구취측정기(Oral Chroma)","구강건조증"
"치과병원","구강내과","안면신경검사기(Neurometer CPT)",""
"치과병원","구강내과","물리치료기기",""
"치과병원","통합치의학과","","임플란트, 크라운/브릿지, 틀니, 근관 및 수복치료 등 종합적인 치과진료"
"치과병원","방사선실","CBCT","원추 형태의 방사선을 이용하여 촬영하며 낮은 선량으로 악안면 부위의 정밀한 영상을 얻어 진단을 하는 장비"
"치과병원","방사선실","Panorama","치과 영상의 대표적 구외촬영장비로 상하 악골 및 안면구조물을 하나의 연속된 영상으로 보여주는 검사장비"
"치과병원","기공실","기공용 엔진","치아 보철물 절단, 연마, 광택 장비"
"치과병원","기공실","고주파주조기","골드, 금속을 녹여 주조체 만드는 장비"
"치과병원","기공실","CAD/CAM","정밀 보철물 제작 장비"
"치과병원","기공실","Laser Welder","의치수리 및 부적합한 보철물 수정 장비"
